import time: self [us] | cumulative | imported package
import time:       279 |        279 |                           numpy.f2py.diagnose
import time:       134 |        134 |                             numpy.f2py._backends
import time:       123 |        123 |                             numpy.f2py.__version__
import time:       234 |        234 |                               numpy.f2py.cfuncs
import time:       898 |       1132 |                             numpy.f2py.auxfuncs
import time:      1442 |       1442 |                               numpy.f2py.cb_rules
import time:       232 |        232 |                               numpy.f2py._isocbind
import time:       326 |        326 |                                 fileinput
import time:       326 |        326 |                                       81d243bd2c585b0f4821__mypyc
import time:      1145 |       1145 |                                       charset_normalizer.constant
import time:       205 |        205 |                                         _multibytecodec
import time:       498 |        702 |                                       charset_normalizer.utils
import time:       341 |        341 |                                       charset_normalizer.models
import time:       480 |       2992 |                                     charset_normalizer.cd
import time:       177 |        177 |                                     _codecs_tw
import time:       146 |        146 |                                     _codecs_hk
import time:       203 |        203 |                                     _codecs_jp
import time:       202 |        202 |                                     _codecs_kr
import time:       161 |        161 |                                     _codecs_cn
import time:       149 |        149 |                                     _codecs_iso2022
import time:     17896 |      21922 |                                   charset_normalizer.api
import time:       141 |        141 |                                   charset_normalizer.legacy
import time:       106 |        106 |                                   charset_normalizer.version
import time:       276 |      22443 |                                 charset_normalizer
import time:      1297 |       1297 |                                 numpy.f2py.symbolic
import time:     11329 |      35394 |                               numpy.f2py.crackfortran
import time:       604 |      37670 |                             numpy.f2py.capi_maps
import time:       192 |        192 |                               numpy.f2py.func2subr
import time:       287 |        479 |                             numpy.f2py.f90mod_rules
import time:       178 |        178 |                               numpy.f2py.common_rules
import time:       131 |        131 |                               numpy.f2py.use_rules
import time:      4458 |       4767 |                             numpy.f2py.rules
import time:       438 |      44740 |                           numpy.f2py.f2py2e
import time:       256 |      45274 |                         numpy.f2py
import time:       210 |        210 |                             numpy.polynomial.polyutils
import time:       333 |        333 |                             numpy.polynomial._polybase
import time:       486 |       1028 |                           numpy.polynomial.chebyshev
import time:       267 |        267 |                           numpy.polynomial.hermite
import time:       325 |        325 |                           numpy.polynomial.hermite_e
import time:       244 |        244 |                           numpy.polynomial.laguerre
import time:       254 |        254 |                           numpy.polynomial.legendre
import time:       290 |        290 |                           numpy.polynomial.polynomial
import time:       261 |       2668 |                         numpy.polynomial
import time:       146 |        146 |                           numpy.core._utils
import time:       140 |        285 |                         numpy.core
import time:       389 |        389 |                           numpy.ctypeslib._ctypeslib
import time:       136 |        524 |                         numpy.ctypeslib
import time:       272 |        272 |                           numpy.fft._helper
import time:       234 |        234 |                             numpy.fft._pocketfft_umath
import time:       340 |        573 |                           numpy.fft._pocketfft
import time:       190 |       1034 |                         numpy.fft
import time:       663 |        663 |                           scipy._lib.array_api_compat.common._aliases
import time:       141 |        141 |                           scipy._lib.array_api_compat.numpy._typing
import time:      1294 |       2097 |                         scipy._lib.array_api_compat.numpy._aliases
import time:       166 |        166 |                         scipy._lib.array_api_compat.numpy._info
import time:       753 |        753 |                           scipy._lib.array_api_compat.common._linalg
import time:       539 |       1291 |                         scipy._lib.array_api_compat.numpy.linalg
import time:       186 |        186 |                           scipy._lib.array_api_compat.common._fft
import time:       643 |        828 |                         scipy._lib.array_api_compat.numpy.fft
import time:      1131 |      76113 |                       scipy._lib.array_api_compat.numpy
import time:       106 |        106 |                             scipy._lib.array_api_extra._lib
import time:       136 |        136 |                                 scipy._lib.array_api_extra._lib._utils
import time:       120 |        120 |                                       scipy._lib._sparse
import time:       335 |        454 |                                     scipy._lib._array_api_override
import time:       147 |        601 |                                   scipy._lib._array_api_compat_vendor
import time:       271 |        871 |                                 scipy._lib.array_api_extra._lib._utils._compat
import time:       208 |        208 |                                   scipy._lib.array_api_extra._lib._utils._typing
